run,type,module,name,attrname,attrvalue,value
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,configname,ContinuityTest,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,datetime,20231222-16:02:10,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,datetimef,20231222-160210,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,experiment,ContinuityTest,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,inifile,omnetpp.ini,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,iterationvars,"$0=exponential(32s, 0)",
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,iterationvarsd,"exponential(32s,_0)",
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,iterationvarsf,"exponential(32s,_0)-",
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,measurement,"$0=exponential(32s, 0)",
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,network,SuperMarket,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,processid,18780,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,repetition,2,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,replication,#2,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,resultdir,results,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,runnumber,102,
ContinuityTest-102-20231222-16:02:10-18780,runattr,,,seedset,2,
ContinuityTest-102-20231222-16:02:10-18780,config,,,sim-time-limit,60s * 60 * 24,
ContinuityTest-102-20231222-16:02:10-18780,config,,,repeat,50,
ContinuityTest-102-20231222-16:02:10-18780,config,,,seed-set,2,
ContinuityTest-102-20231222-16:02:10-18780,config,,,SuperMarket.C,4,
ContinuityTest-102-20231222-16:02:10-18780,config,,,SuperMarket.checkout.p,0.5,
ContinuityTest-102-20231222-16:02:10-18780,config,,,SuperMarket.checkout.classifier.K,8,
ContinuityTest-102-20231222-16:02:10-18780,config,,,SuperMarket.checkout.queues.serviceTime,3s,
