run,type,module,name,attrname,attrvalue,value
Fast-7-20231221-15:56:34-11032,runattr,,,configname,Fast,
Fast-7-20231221-15:56:34-11032,runattr,,,datetime,20231221-15:56:34,
Fast-7-20231221-15:56:34-11032,runattr,,,datetimef,20231221-155634,
Fast-7-20231221-15:56:34-11032,runattr,,,experiment,Fast,
Fast-7-20231221-15:56:34-11032,runattr,,,inifile,omnetpp.ini,
Fast-7-20231221-15:56:34-11032,runattr,,,iterationvars,,
Fast-7-20231221-15:56:34-11032,runattr,,,iterationvarsd,,
Fast-7-20231221-15:56:34-11032,runattr,,,iterationvarsf,,
Fast-7-20231221-15:56:34-11032,runattr,,,measurement,,
Fast-7-20231221-15:56:34-11032,runattr,,,network,SuperMarket,
Fast-7-20231221-15:56:34-11032,runattr,,,processid,11032,
Fast-7-20231221-15:56:34-11032,runattr,,,repetition,7,
Fast-7-20231221-15:56:34-11032,runattr,,,replication,#7,
Fast-7-20231221-15:56:34-11032,runattr,,,resultdir,results,
Fast-7-20231221-15:56:34-11032,runattr,,,runnumber,7,
Fast-7-20231221-15:56:34-11032,runattr,,,seedset,7,
Fast-7-20231221-15:56:34-11032,config,,,extends,ConsistencyTest,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.checkout.classifier.K,4,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.source.interArrivalTime,"exponential(15s, 0)",
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.source.numberOfItems,"int(exponential(9, 1)+1)",
Fast-7-20231221-15:56:34-11032,config,,,sim-time-limit,60s * 60 * 24,
Fast-7-20231221-15:56:34-11032,config,,,repeat,50,
Fast-7-20231221-15:56:34-11032,config,,,seed-set,7,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.C,4,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.checkout.p,0.5,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Fast-7-20231221-15:56:34-11032,config,,,network,SuperMarket,
Fast-7-20231221-15:56:34-11032,config,,,sim-time-limit,60s * 60 * 24,
Fast-7-20231221-15:56:34-11032,config,,,repeat,50,
Fast-7-20231221-15:56:34-11032,config,,,seed-set,7,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.C,4,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.checkout.p,0.5,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.checkout.classifier.K,16,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Fast-7-20231221-15:56:34-11032,config,,,num-rngs,2,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.source.rng-0,0,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.source.rng-1,1,
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Fast-7-20231221-15:56:34-11032,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Fast-46-20231221-15:56:36-21840,runattr,,,configname,Fast,
Fast-46-20231221-15:56:36-21840,runattr,,,datetime,20231221-15:56:36,
