run,type,module,name,attrname,attrvalue,value
p0-15-20231221-16:04:59-8460,runattr,,,configname,p0,
p0-15-20231221-16:04:59-8460,runattr,,,datetime,20231221-16:04:59,
p0-15-20231221-16:04:59-8460,runattr,,,datetimef,20231221-160459,
p0-15-20231221-16:04:59-8460,runattr,,,experiment,p0,
p0-15-20231221-16:04:59-8460,runattr,,,inifile,omnetpp.ini,
p0-15-20231221-16:04:59-8460,runattr,,,iterationvars,,
p0-15-20231221-16:04:59-8460,runattr,,,iterationvarsd,,
p0-15-20231221-16:04:59-8460,runattr,,,iterationvarsf,,
p0-15-20231221-16:04:59-8460,runattr,,,measurement,,
p0-15-20231221-16:04:59-8460,runattr,,,network,SuperMarket,
p0-15-20231221-16:04:59-8460,runattr,,,processid,8460,
p0-15-20231221-16:04:59-8460,runattr,,,repetition,15,
p0-15-20231221-16:04:59-8460,runattr,,,replication,#15,
p0-15-20231221-16:04:59-8460,runattr,,,resultdir,results,
p0-15-20231221-16:04:59-8460,runattr,,,runnumber,15,
p0-15-20231221-16:04:59-8460,runattr,,,seedset,15,
p0-15-20231221-16:04:59-8460,config,,,extends,DegeneracyTest,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.checkout.p,0,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.checkout.classifier.K,0,
p0-15-20231221-16:04:59-8460,config,,,sim-time-limit,60s * 60 * 24,
p0-15-20231221-16:04:59-8460,config,,,repeat,50,
p0-15-20231221-16:04:59-8460,config,,,seed-set,15,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.C,4,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.checkout.queues.serviceTime,3s,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
p0-15-20231221-16:04:59-8460,config,,,network,SuperMarket,
p0-15-20231221-16:04:59-8460,config,,,sim-time-limit,60s * 60 * 24,
p0-15-20231221-16:04:59-8460,config,,,repeat,50,
p0-15-20231221-16:04:59-8460,config,,,seed-set,15,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.C,4,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.checkout.p,0.5,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.checkout.classifier.K,16,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.checkout.queues.serviceTime,3s,
p0-15-20231221-16:04:59-8460,config,,,num-rngs,2,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.source.rng-0,0,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.source.rng-1,1,
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
p0-15-20231221-16:04:59-8460,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
p0-16-20231221-16:04:59-7144,runattr,,,configname,p0,
p0-16-20231221-16:04:59-7144,runattr,,,datetime,20231221-16:04:59,
p0-16-20231221-16:04:59-7144,runattr,,,datetimef,20231221-160459,
p0-16-20231221-16:04:59-7144,runattr,,,experiment,p0,
p0-16-20231221-16:04:59-7144,runattr,,,inifile,omnetpp.ini,
p0-16-20231221-16:04:59-7144,runattr,,,iterationvars,,
p0-16-20231221-16:04:59-7144,runattr,,,iterationvarsd,,
p0-16-20231221-16:04:59-7144,runattr,,,iterationvarsf,,
p0-16-20231221-16:04:59-7144,runattr,,,measurement,,
p0-16-20231221-16:04:59-7144,runattr,,,network,SuperMarket,
p0-16-20231221-16:04:59-7144,runattr,,,processid,7144,
p0-16-20231221-16:04:59-7144,runattr,,,repetition,16,
p0-16-20231221-16:04:59-7144,runattr,,,replication,#16,
p0-16-20231221-16:04:59-7144,runattr,,,resultdir,results,
p0-16-20231221-16:04:59-7144,runattr,,,runnumber,16,
p0-16-20231221-16:04:59-7144,runattr,,,seedset,16,
