run,type,module,name,attrname,attrvalue,value
General-443-20231219-20:21:25-9700,runattr,,,configname,General,
General-443-20231219-20:21:25-9700,runattr,,,datetime,20231219-20:21:25,
General-443-20231219-20:21:25-9700,runattr,,,datetimef,20231219-202125,
General-443-20231219-20:21:25-9700,runattr,,,experiment,General,
General-443-20231219-20:21:25-9700,runattr,,,inifile,omnetpp.ini,
General-443-20231219-20:21:25-9700,runattr,,,iterationvars,,
General-443-20231219-20:21:25-9700,runattr,,,iterationvarsd,,
General-443-20231219-20:21:25-9700,runattr,,,iterationvarsf,,
General-443-20231219-20:21:25-9700,runattr,,,measurement,,
General-443-20231219-20:21:25-9700,runattr,,,network,SuperMarket,
General-443-20231219-20:21:25-9700,runattr,,,processid,9700,
General-443-20231219-20:21:25-9700,runattr,,,repetition,443,
General-443-20231219-20:21:25-9700,runattr,,,replication,#443,
General-443-20231219-20:21:25-9700,runattr,,,resultdir,results,
General-443-20231219-20:21:25-9700,runattr,,,runnumber,443,
General-443-20231219-20:21:25-9700,runattr,,,seedset,443,
General-443-20231219-20:21:25-9700,config,,,network,SuperMarket,
General-443-20231219-20:21:25-9700,config,,,sim-time-limit,60s * 60 * 24,
General-443-20231219-20:21:25-9700,config,,,repeat,500,
General-443-20231219-20:21:25-9700,config,,,seed-set,443,
General-443-20231219-20:21:25-9700,config,,,SuperMarket.C,4,
General-443-20231219-20:21:25-9700,config,,,SuperMarket.checkout.p,0,
General-443-20231219-20:21:25-9700,config,,,SuperMarket.checkout.classifier.K,0,
General-443-20231219-20:21:25-9700,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-443-20231219-20:21:25-9700,config,,,num-rngs,2,
General-443-20231219-20:21:25-9700,config,,,SuperMarket.source.rng-0,0,
General-443-20231219-20:21:25-9700,config,,,SuperMarket.source.rng-1,1,
General-443-20231219-20:21:25-9700,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-443-20231219-20:21:25-9700,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-443-20231219-20:21:25-9700,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-405-20231219-20:21:18-19460,runattr,,,configname,General,
General-405-20231219-20:21:18-19460,runattr,,,datetime,20231219-20:21:18,
General-405-20231219-20:21:18-19460,runattr,,,datetimef,20231219-202118,
General-405-20231219-20:21:18-19460,runattr,,,experiment,General,
General-405-20231219-20:21:18-19460,runattr,,,inifile,omnetpp.ini,
General-405-20231219-20:21:18-19460,runattr,,,iterationvars,,
General-405-20231219-20:21:18-19460,runattr,,,iterationvarsd,,
General-405-20231219-20:21:18-19460,runattr,,,iterationvarsf,,
General-405-20231219-20:21:18-19460,runattr,,,measurement,,
General-405-20231219-20:21:18-19460,runattr,,,network,SuperMarket,
General-405-20231219-20:21:18-19460,runattr,,,processid,19460,
General-405-20231219-20:21:18-19460,runattr,,,repetition,405,
General-405-20231219-20:21:18-19460,runattr,,,replication,#405,
General-405-20231219-20:21:18-19460,runattr,,,resultdir,results,
General-405-20231219-20:21:18-19460,runattr,,,runnumber,405,
General-405-20231219-20:21:18-19460,runattr,,,seedset,405,
General-405-20231219-20:21:18-19460,config,,,network,SuperMarket,
General-405-20231219-20:21:18-19460,config,,,sim-time-limit,60s * 60 * 24,
General-405-20231219-20:21:18-19460,config,,,repeat,500,
General-405-20231219-20:21:18-19460,config,,,seed-set,405,
General-405-20231219-20:21:18-19460,config,,,SuperMarket.C,4,
General-405-20231219-20:21:18-19460,config,,,SuperMarket.checkout.p,0,
General-405-20231219-20:21:18-19460,config,,,SuperMarket.checkout.classifier.K,0,
General-405-20231219-20:21:18-19460,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-405-20231219-20:21:18-19460,config,,,num-rngs,2,
General-405-20231219-20:21:18-19460,config,,,SuperMarket.source.rng-0,0,
General-405-20231219-20:21:18-19460,config,,,SuperMarket.source.rng-1,1,
General-405-20231219-20:21:18-19460,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-405-20231219-20:21:18-19460,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-405-20231219-20:21:18-19460,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-421-20231219-20:21:20-5824,runattr,,,configname,General,
General-421-20231219-20:21:20-5824,runattr,,,datetime,20231219-20:21:20,
General-421-20231219-20:21:20-5824,runattr,,,datetimef,20231219-202120,
General-421-20231219-20:21:20-5824,runattr,,,experiment,General,
General-421-20231219-20:21:20-5824,runattr,,,inifile,omnetpp.ini,
General-421-20231219-20:21:20-5824,runattr,,,iterationvars,,
General-421-20231219-20:21:20-5824,runattr,,,iterationvarsd,,
General-421-20231219-20:21:20-5824,runattr,,,iterationvarsf,,
General-421-20231219-20:21:20-5824,runattr,,,measurement,,
General-421-20231219-20:21:20-5824,runattr,,,network,SuperMarket,
General-421-20231219-20:21:20-5824,runattr,,,processid,5824,
General-421-20231219-20:21:20-5824,runattr,,,repetition,421,
General-421-20231219-20:21:20-5824,runattr,,,replication,#421,
General-421-20231219-20:21:20-5824,runattr,,,resultdir,results,
General-421-20231219-20:21:20-5824,runattr,,,runnumber,421,
General-421-20231219-20:21:20-5824,runattr,,,seedset,421,
General-421-20231219-20:21:20-5824,config,,,network,SuperMarket,
General-421-20231219-20:21:20-5824,config,,,sim-time-limit,60s * 60 * 24,
General-421-20231219-20:21:20-5824,config,,,repeat,500,
General-421-20231219-20:21:20-5824,config,,,seed-set,421,
General-421-20231219-20:21:20-5824,config,,,SuperMarket.C,4,
General-421-20231219-20:21:20-5824,config,,,SuperMarket.checkout.p,0,
General-421-20231219-20:21:20-5824,config,,,SuperMarket.checkout.classifier.K,0,
General-421-20231219-20:21:20-5824,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-421-20231219-20:21:20-5824,config,,,num-rngs,2,
General-421-20231219-20:21:20-5824,config,,,SuperMarket.source.rng-0,0,
General-421-20231219-20:21:20-5824,config,,,SuperMarket.source.rng-1,1,
General-421-20231219-20:21:20-5824,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-421-20231219-20:21:20-5824,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-421-20231219-20:21:20-5824,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-447-20231219-20:21:25-6244,runattr,,,configname,General,
General-447-20231219-20:21:25-6244,runattr,,,datetime,20231219-20:21:25,
General-447-20231219-20:21:25-6244,runattr,,,datetimef,20231219-202125,
General-447-20231219-20:21:25-6244,runattr,,,experiment,General,
General-447-20231219-20:21:25-6244,runattr,,,inifile,omnetpp.ini,
General-447-20231219-20:21:25-6244,runattr,,,iterationvars,,
General-447-20231219-20:21:25-6244,runattr,,,iterationvarsd,,
General-447-20231219-20:21:25-6244,runattr,,,iterationvarsf,,
General-447-20231219-20:21:25-6244,runattr,,,measurement,,
General-447-20231219-20:21:25-6244,runattr,,,network,SuperMarket,
General-447-20231219-20:21:25-6244,runattr,,,processid,6244,
General-447-20231219-20:21:25-6244,runattr,,,repetition,447,
General-447-20231219-20:21:25-6244,runattr,,,replication,#447,
General-447-20231219-20:21:25-6244,runattr,,,resultdir,results,
General-447-20231219-20:21:25-6244,runattr,,,runnumber,447,
General-447-20231219-20:21:25-6244,runattr,,,seedset,447,
General-447-20231219-20:21:25-6244,config,,,network,SuperMarket,
General-447-20231219-20:21:25-6244,config,,,sim-time-limit,60s * 60 * 24,
General-447-20231219-20:21:25-6244,config,,,repeat,500,
General-447-20231219-20:21:25-6244,config,,,seed-set,447,
General-447-20231219-20:21:25-6244,config,,,SuperMarket.C,4,
