run,type,module,name,attrname,attrvalue,value
Balanced-21-20231221-15:55:41-22288,runattr,,,configname,Balanced,
Balanced-21-20231221-15:55:41-22288,runattr,,,datetime,20231221-15:55:41,
Balanced-21-20231221-15:55:41-22288,runattr,,,datetimef,20231221-155541,
Balanced-21-20231221-15:55:41-22288,runattr,,,experiment,Balanced,
Balanced-21-20231221-15:55:41-22288,runattr,,,inifile,omnetpp.ini,
Balanced-21-20231221-15:55:41-22288,runattr,,,iterationvars,,
Balanced-21-20231221-15:55:41-22288,runattr,,,iterationvarsd,,
Balanced-21-20231221-15:55:41-22288,runattr,,,iterationvarsf,,
Balanced-21-20231221-15:55:41-22288,runattr,,,measurement,,
Balanced-21-20231221-15:55:41-22288,runattr,,,network,SuperMarket,
Balanced-21-20231221-15:55:41-22288,runattr,,,processid,22288,
Balanced-21-20231221-15:55:41-22288,runattr,,,repetition,21,
Balanced-21-20231221-15:55:41-22288,runattr,,,replication,#21,
Balanced-21-20231221-15:55:41-22288,runattr,,,resultdir,results,
Balanced-21-20231221-15:55:41-22288,runattr,,,runnumber,21,
Balanced-21-20231221-15:55:41-22288,runattr,,,seedset,21,
Balanced-21-20231221-15:55:41-22288,config,,,extends,ConsistencyTest,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.checkout.classifier.K,8,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-21-20231221-15:55:41-22288,config,,,sim-time-limit,60s * 60 * 24,
Balanced-21-20231221-15:55:41-22288,config,,,repeat,50,
Balanced-21-20231221-15:55:41-22288,config,,,seed-set,21,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.C,4,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.checkout.p,0.5,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-21-20231221-15:55:41-22288,config,,,network,SuperMarket,
Balanced-21-20231221-15:55:41-22288,config,,,sim-time-limit,60s * 60 * 24,
Balanced-21-20231221-15:55:41-22288,config,,,repeat,50,
Balanced-21-20231221-15:55:41-22288,config,,,seed-set,21,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.C,4,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.checkout.p,0.5,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.checkout.classifier.K,16,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-21-20231221-15:55:41-22288,config,,,num-rngs,2,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.source.rng-0,0,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.source.rng-1,1,
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-21-20231221-15:55:41-22288,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-22-20231221-15:55:41-18408,runattr,,,configname,Balanced,
Balanced-22-20231221-15:55:41-18408,runattr,,,datetime,20231221-15:55:41,
Balanced-22-20231221-15:55:41-18408,runattr,,,datetimef,20231221-155541,
Balanced-22-20231221-15:55:41-18408,runattr,,,experiment,Balanced,
Balanced-22-20231221-15:55:41-18408,runattr,,,inifile,omnetpp.ini,
Balanced-22-20231221-15:55:41-18408,runattr,,,iterationvars,,
Balanced-22-20231221-15:55:41-18408,runattr,,,iterationvarsd,,
Balanced-22-20231221-15:55:41-18408,runattr,,,iterationvarsf,,
Balanced-22-20231221-15:55:41-18408,runattr,,,measurement,,
Balanced-22-20231221-15:55:41-18408,runattr,,,network,SuperMarket,
Balanced-22-20231221-15:55:41-18408,runattr,,,processid,18408,
Balanced-22-20231221-15:55:41-18408,runattr,,,repetition,22,
Balanced-22-20231221-15:55:41-18408,runattr,,,replication,#22,
Balanced-22-20231221-15:55:41-18408,runattr,,,resultdir,results,
Balanced-22-20231221-15:55:41-18408,runattr,,,runnumber,22,
Balanced-22-20231221-15:55:41-18408,runattr,,,seedset,22,
Balanced-22-20231221-15:55:41-18408,config,,,extends,ConsistencyTest,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.checkout.classifier.K,8,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-22-20231221-15:55:41-18408,config,,,sim-time-limit,60s * 60 * 24,
Balanced-22-20231221-15:55:41-18408,config,,,repeat,50,
Balanced-22-20231221-15:55:41-18408,config,,,seed-set,22,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.C,4,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.checkout.p,0.5,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-22-20231221-15:55:41-18408,config,,,network,SuperMarket,
Balanced-22-20231221-15:55:41-18408,config,,,sim-time-limit,60s * 60 * 24,
Balanced-22-20231221-15:55:41-18408,config,,,repeat,50,
Balanced-22-20231221-15:55:41-18408,config,,,seed-set,22,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.C,4,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.checkout.p,0.5,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.checkout.classifier.K,16,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-22-20231221-15:55:41-18408,config,,,num-rngs,2,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.source.rng-0,0,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.source.rng-1,1,
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-22-20231221-15:55:41-18408,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-11-20231221-15:55:41-20072,runattr,,,configname,Balanced,
Balanced-11-20231221-15:55:41-20072,runattr,,,datetime,20231221-15:55:41,
Balanced-11-20231221-15:55:41-20072,runattr,,,datetimef,20231221-155541,
Balanced-11-20231221-15:55:41-20072,runattr,,,experiment,Balanced,
Balanced-11-20231221-15:55:41-20072,runattr,,,inifile,omnetpp.ini,
Balanced-11-20231221-15:55:41-20072,runattr,,,iterationvars,,
Balanced-11-20231221-15:55:41-20072,runattr,,,iterationvarsd,,
Balanced-11-20231221-15:55:41-20072,runattr,,,iterationvarsf,,
Balanced-11-20231221-15:55:41-20072,runattr,,,measurement,,
Balanced-11-20231221-15:55:41-20072,runattr,,,network,SuperMarket,
Balanced-11-20231221-15:55:41-20072,runattr,,,processid,20072,
Balanced-11-20231221-15:55:41-20072,runattr,,,repetition,11,
Balanced-11-20231221-15:55:41-20072,runattr,,,replication,#11,
Balanced-11-20231221-15:55:41-20072,runattr,,,resultdir,results,
Balanced-11-20231221-15:55:41-20072,runattr,,,runnumber,11,
Balanced-11-20231221-15:55:41-20072,runattr,,,seedset,11,
Balanced-11-20231221-15:55:41-20072,config,,,extends,ConsistencyTest,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.checkout.classifier.K,8,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-11-20231221-15:55:41-20072,config,,,sim-time-limit,60s * 60 * 24,
Balanced-11-20231221-15:55:41-20072,config,,,repeat,50,
Balanced-11-20231221-15:55:41-20072,config,,,seed-set,11,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.C,4,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.checkout.p,0.5,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-11-20231221-15:55:41-20072,config,,,network,SuperMarket,
Balanced-11-20231221-15:55:41-20072,config,,,sim-time-limit,60s * 60 * 24,
Balanced-11-20231221-15:55:41-20072,config,,,repeat,50,
Balanced-11-20231221-15:55:41-20072,config,,,seed-set,11,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.C,4,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.checkout.p,0.5,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.checkout.classifier.K,16,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-11-20231221-15:55:41-20072,config,,,num-rngs,2,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.source.rng-0,0,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.source.rng-1,1,
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-11-20231221-15:55:41-20072,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-14-20231221-15:55:41-17568,runattr,,,configname,Balanced,
Balanced-14-20231221-15:55:41-17568,runattr,,,datetime,20231221-15:55:41,
Balanced-14-20231221-15:55:41-17568,runattr,,,datetimef,20231221-155541,
Balanced-14-20231221-15:55:41-17568,runattr,,,experiment,Balanced,
Balanced-14-20231221-15:55:41-17568,runattr,,,inifile,omnetpp.ini,
Balanced-14-20231221-15:55:41-17568,runattr,,,iterationvars,,
Balanced-14-20231221-15:55:41-17568,runattr,,,iterationvarsd,,
Balanced-14-20231221-15:55:41-17568,runattr,,,iterationvarsf,,
Balanced-14-20231221-15:55:41-17568,runattr,,,measurement,,
Balanced-14-20231221-15:55:41-17568,runattr,,,network,SuperMarket,
Balanced-14-20231221-15:55:41-17568,runattr,,,processid,17568,
Balanced-14-20231221-15:55:41-17568,runattr,,,repetition,14,
Balanced-14-20231221-15:55:41-17568,runattr,,,replication,#14,
Balanced-14-20231221-15:55:41-17568,runattr,,,resultdir,results,
Balanced-14-20231221-15:55:41-17568,runattr,,,runnumber,14,
Balanced-14-20231221-15:55:41-17568,runattr,,,seedset,14,
Balanced-14-20231221-15:55:41-17568,config,,,extends,ConsistencyTest,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.checkout.classifier.K,8,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-14-20231221-15:55:41-17568,config,,,sim-time-limit,60s * 60 * 24,
Balanced-14-20231221-15:55:41-17568,config,,,repeat,50,
Balanced-14-20231221-15:55:41-17568,config,,,seed-set,14,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.C,4,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.checkout.p,0.5,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-14-20231221-15:55:41-17568,config,,,network,SuperMarket,
Balanced-14-20231221-15:55:41-17568,config,,,sim-time-limit,60s * 60 * 24,
Balanced-14-20231221-15:55:41-17568,config,,,repeat,50,
Balanced-14-20231221-15:55:41-17568,config,,,seed-set,14,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.C,4,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.checkout.p,0.5,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.checkout.classifier.K,16,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-14-20231221-15:55:41-17568,config,,,num-rngs,2,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.source.rng-0,0,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.source.rng-1,1,
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-14-20231221-15:55:41-17568,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-19-20231221-15:55:41-21304,runattr,,,configname,Balanced,
Balanced-19-20231221-15:55:41-21304,runattr,,,datetime,20231221-15:55:41,
Balanced-19-20231221-15:55:41-21304,runattr,,,datetimef,20231221-155541,
Balanced-19-20231221-15:55:41-21304,runattr,,,experiment,Balanced,
Balanced-19-20231221-15:55:41-21304,runattr,,,inifile,omnetpp.ini,
Balanced-19-20231221-15:55:41-21304,runattr,,,iterationvars,,
Balanced-19-20231221-15:55:41-21304,runattr,,,iterationvarsd,,
Balanced-19-20231221-15:55:41-21304,runattr,,,iterationvarsf,,
Balanced-19-20231221-15:55:41-21304,runattr,,,measurement,,
Balanced-19-20231221-15:55:41-21304,runattr,,,network,SuperMarket,
Balanced-19-20231221-15:55:41-21304,runattr,,,processid,21304,
Balanced-19-20231221-15:55:41-21304,runattr,,,repetition,19,
Balanced-19-20231221-15:55:41-21304,runattr,,,replication,#19,
Balanced-19-20231221-15:55:41-21304,runattr,,,resultdir,results,
Balanced-19-20231221-15:55:41-21304,runattr,,,runnumber,19,
Balanced-19-20231221-15:55:41-21304,runattr,,,seedset,19,
Balanced-19-20231221-15:55:41-21304,config,,,extends,ConsistencyTest,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.checkout.classifier.K,8,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-19-20231221-15:55:41-21304,config,,,sim-time-limit,60s * 60 * 24,
Balanced-19-20231221-15:55:41-21304,config,,,repeat,50,
Balanced-19-20231221-15:55:41-21304,config,,,seed-set,19,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.C,4,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.checkout.p,0.5,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-19-20231221-15:55:41-21304,config,,,network,SuperMarket,
Balanced-19-20231221-15:55:41-21304,config,,,sim-time-limit,60s * 60 * 24,
Balanced-19-20231221-15:55:41-21304,config,,,repeat,50,
Balanced-19-20231221-15:55:41-21304,config,,,seed-set,19,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.C,4,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.checkout.p,0.5,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.checkout.classifier.K,16,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-19-20231221-15:55:41-21304,config,,,num-rngs,2,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.source.rng-0,0,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.source.rng-1,1,
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-19-20231221-15:55:41-21304,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-26-20231221-15:55:41-17164,runattr,,,configname,Balanced,
Balanced-26-20231221-15:55:41-17164,runattr,,,datetime,20231221-15:55:41,
Balanced-26-20231221-15:55:41-17164,runattr,,,datetimef,20231221-155541,
Balanced-26-20231221-15:55:41-17164,runattr,,,experiment,Balanced,
Balanced-26-20231221-15:55:41-17164,runattr,,,inifile,omnetpp.ini,
Balanced-26-20231221-15:55:41-17164,runattr,,,iterationvars,,
Balanced-26-20231221-15:55:41-17164,runattr,,,iterationvarsd,,
Balanced-26-20231221-15:55:41-17164,runattr,,,iterationvarsf,,
Balanced-26-20231221-15:55:41-17164,runattr,,,measurement,,
Balanced-26-20231221-15:55:41-17164,runattr,,,network,SuperMarket,
Balanced-26-20231221-15:55:41-17164,runattr,,,processid,17164,
Balanced-26-20231221-15:55:41-17164,runattr,,,repetition,26,
Balanced-26-20231221-15:55:41-17164,runattr,,,replication,#26,
Balanced-26-20231221-15:55:41-17164,runattr,,,resultdir,results,
Balanced-26-20231221-15:55:41-17164,runattr,,,runnumber,26,
Balanced-26-20231221-15:55:41-17164,runattr,,,seedset,26,
Balanced-26-20231221-15:55:41-17164,config,,,extends,ConsistencyTest,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.checkout.classifier.K,8,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-26-20231221-15:55:41-17164,config,,,sim-time-limit,60s * 60 * 24,
Balanced-26-20231221-15:55:41-17164,config,,,repeat,50,
Balanced-26-20231221-15:55:41-17164,config,,,seed-set,26,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.C,4,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.checkout.p,0.5,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-26-20231221-15:55:41-17164,config,,,network,SuperMarket,
Balanced-26-20231221-15:55:41-17164,config,,,sim-time-limit,60s * 60 * 24,
Balanced-26-20231221-15:55:41-17164,config,,,repeat,50,
Balanced-26-20231221-15:55:41-17164,config,,,seed-set,26,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.C,4,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.checkout.p,0.5,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.checkout.classifier.K,16,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-26-20231221-15:55:41-17164,config,,,num-rngs,2,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.source.rng-0,0,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.source.rng-1,1,
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-26-20231221-15:55:41-17164,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-24-20231221-15:55:41-9336,runattr,,,configname,Balanced,
Balanced-24-20231221-15:55:41-9336,runattr,,,datetime,20231221-15:55:41,
Balanced-24-20231221-15:55:41-9336,runattr,,,datetimef,20231221-155541,
Balanced-24-20231221-15:55:41-9336,runattr,,,experiment,Balanced,
Balanced-24-20231221-15:55:41-9336,runattr,,,inifile,omnetpp.ini,
Balanced-24-20231221-15:55:41-9336,runattr,,,iterationvars,,
Balanced-24-20231221-15:55:41-9336,runattr,,,iterationvarsd,,
Balanced-24-20231221-15:55:41-9336,runattr,,,iterationvarsf,,
Balanced-24-20231221-15:55:41-9336,runattr,,,measurement,,
Balanced-24-20231221-15:55:41-9336,runattr,,,network,SuperMarket,
Balanced-24-20231221-15:55:41-9336,runattr,,,processid,9336,
Balanced-24-20231221-15:55:41-9336,runattr,,,repetition,24,
Balanced-24-20231221-15:55:41-9336,runattr,,,replication,#24,
Balanced-24-20231221-15:55:41-9336,runattr,,,resultdir,results,
Balanced-24-20231221-15:55:41-9336,runattr,,,runnumber,24,
Balanced-24-20231221-15:55:41-9336,runattr,,,seedset,24,
Balanced-24-20231221-15:55:41-9336,config,,,extends,ConsistencyTest,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.checkout.classifier.K,8,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-24-20231221-15:55:41-9336,config,,,sim-time-limit,60s * 60 * 24,
Balanced-24-20231221-15:55:41-9336,config,,,repeat,50,
Balanced-24-20231221-15:55:41-9336,config,,,seed-set,24,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.C,4,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.checkout.p,0.5,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-24-20231221-15:55:41-9336,config,,,network,SuperMarket,
Balanced-24-20231221-15:55:41-9336,config,,,sim-time-limit,60s * 60 * 24,
Balanced-24-20231221-15:55:41-9336,config,,,repeat,50,
Balanced-24-20231221-15:55:41-9336,config,,,seed-set,24,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.C,4,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.checkout.p,0.5,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.checkout.classifier.K,16,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Balanced-24-20231221-15:55:41-9336,config,,,num-rngs,2,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.source.rng-0,0,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.source.rng-1,1,
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Balanced-24-20231221-15:55:41-9336,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Balanced-13-20231221-15:55:41-21844,runattr,,,configname,Balanced,
Balanced-13-20231221-15:55:41-21844,runattr,,,datetime,20231221-15:55:41,
Balanced-13-20231221-15:55:41-21844,runattr,,,datetimef,20231221-155541,
Balanced-13-20231221-15:55:41-21844,runattr,,,experiment,Balanced,
Balanced-13-20231221-15:55:41-21844,runattr,,,inifile,omnetpp.ini,
Balanced-13-20231221-15:55:41-21844,runattr,,,iterationvars,,
Balanced-13-20231221-15:55:41-21844,runattr,,,iterationvarsd,,
Balanced-13-20231221-15:55:41-21844,runattr,,,iterationvarsf,,
Balanced-13-20231221-15:55:41-21844,runattr,,,measurement,,
Balanced-13-20231221-15:55:41-21844,runattr,,,network,SuperMarket,
Balanced-13-20231221-15:55:41-21844,runattr,,,processid,21844,
Balanced-13-20231221-15:55:41-21844,runattr,,,repetition,13,
Balanced-13-20231221-15:55:41-21844,runattr,,,replication,#13,
Balanced-13-20231221-15:55:41-21844,runattr,,,resultdir,results,
Balanced-13-20231221-15:55:41-21844,runattr,,,runnumber,13,
Balanced-13-20231221-15:55:41-21844,runattr,,,seedset,13,
Balanced-13-20231221-15:55:41-21844,config,,,extends,ConsistencyTest,
Balanced-13-20231221-15:55:41-21844,config,,,SuperMarket.checkout.classifier.K,8,
