run,type,module,name,attrname,attrvalue,value
General-11-20231217-12:30:31-22696,runattr,,,configname,General,
General-11-20231217-12:30:31-22696,runattr,,,datetime,20231217-12:30:31,
General-11-20231217-12:30:31-22696,runattr,,,datetimef,20231217-123031,
General-11-20231217-12:30:31-22696,runattr,,,experiment,General,
General-11-20231217-12:30:31-22696,runattr,,,inifile,omnetpp.ini,
General-11-20231217-12:30:31-22696,runattr,,,iterationvars,,
General-11-20231217-12:30:31-22696,runattr,,,iterationvarsd,,
General-11-20231217-12:30:31-22696,runattr,,,iterationvarsf,,
General-11-20231217-12:30:31-22696,runattr,,,measurement,,
General-11-20231217-12:30:31-22696,runattr,,,network,SuperMarket,
General-11-20231217-12:30:31-22696,runattr,,,processid,22696,
General-11-20231217-12:30:31-22696,runattr,,,repetition,11,
General-11-20231217-12:30:31-22696,runattr,,,replication,#11,
General-11-20231217-12:30:31-22696,runattr,,,resultdir,results,
General-11-20231217-12:30:31-22696,runattr,,,runnumber,11,
General-11-20231217-12:30:31-22696,runattr,,,seedset,11,
General-11-20231217-12:30:31-22696,config,,,network,SuperMarket,
General-11-20231217-12:30:31-22696,config,,,sim-time-limit,60s * 60 * 24,
General-11-20231217-12:30:31-22696,config,,,repeat,40,
General-11-20231217-12:30:31-22696,config,,,seed-set,11,
General-11-20231217-12:30:31-22696,config,,,SuperMarket.C,4,
General-11-20231217-12:30:31-22696,config,,,SuperMarket.checkout.p,0.5,
General-11-20231217-12:30:31-22696,config,,,SuperMarket.checkout.classifier.K,4,
General-11-20231217-12:30:31-22696,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-11-20231217-12:30:31-22696,config,,,num-rngs,2,
General-11-20231217-12:30:31-22696,config,,,SuperMarket.source.rng-0,0,
General-11-20231217-12:30:31-22696,config,,,SuperMarket.source.rng-1,1,
General-11-20231217-12:30:31-22696,config,,,SuperMarket.source.interArrivalTime,"exponential(15s, 0)",
General-11-20231217-12:30:31-22696,config,,,SuperMarket.source.numberOfItems,"int(exponential(10, 1))",
General-11-20231217-12:30:31-22696,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-16-20231217-12:30:32-23420,runattr,,,configname,General,
General-16-20231217-12:30:32-23420,runattr,,,datetime,20231217-12:30:32,
General-16-20231217-12:30:32-23420,runattr,,,datetimef,20231217-123032,
General-16-20231217-12:30:32-23420,runattr,,,experiment,General,
General-16-20231217-12:30:32-23420,runattr,,,inifile,omnetpp.ini,
General-16-20231217-12:30:32-23420,runattr,,,iterationvars,,
General-16-20231217-12:30:32-23420,runattr,,,iterationvarsd,,
General-16-20231217-12:30:32-23420,runattr,,,iterationvarsf,,
General-16-20231217-12:30:32-23420,runattr,,,measurement,,
General-16-20231217-12:30:32-23420,runattr,,,network,SuperMarket,
General-16-20231217-12:30:32-23420,runattr,,,processid,23420,
General-16-20231217-12:30:32-23420,runattr,,,repetition,16,
General-16-20231217-12:30:32-23420,runattr,,,replication,#16,
General-16-20231217-12:30:32-23420,runattr,,,resultdir,results,
General-16-20231217-12:30:32-23420,runattr,,,runnumber,16,
General-16-20231217-12:30:32-23420,runattr,,,seedset,16,
General-16-20231217-12:30:32-23420,config,,,network,SuperMarket,
General-16-20231217-12:30:32-23420,config,,,sim-time-limit,60s * 60 * 24,
General-16-20231217-12:30:32-23420,config,,,repeat,40,
General-16-20231217-12:30:32-23420,config,,,seed-set,16,
General-16-20231217-12:30:32-23420,config,,,SuperMarket.C,4,
General-16-20231217-12:30:32-23420,config,,,SuperMarket.checkout.p,0.5,
General-16-20231217-12:30:32-23420,config,,,SuperMarket.checkout.classifier.K,4,
General-16-20231217-12:30:32-23420,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-16-20231217-12:30:32-23420,config,,,num-rngs,2,
General-16-20231217-12:30:32-23420,config,,,SuperMarket.source.rng-0,0,
General-16-20231217-12:30:32-23420,config,,,SuperMarket.source.rng-1,1,
